Characteristic,Model,Accuracy,Spearman,Kendall,MAE,MSE
Gender,XGB,0.607,0.21416830571188816,0.2141683057118882,0.393,0.393
Age,XGB,,0.4880066604695531,0.34815049879118354,5.2659125328063965,47.54734802246094
Topic,XGB,0.3535,-0.03705754883204737,-0.032724554486307005,9.326,218.671
