Characteristic,Model,Accuracy,Spearman,Kendall,MAE,MSE
Gender,XGB,0.619,0.23799237587772715,0.2379923758777271,0.381,0.381
Age,XGB,,0.4247340028802594,0.3004333841619209,5.414241313934326,50.185821533203125
Topic,XGB,0.3655,-0.016077828072471823,-0.014083864774081876,9.2745,218.9785
