,MAE,MSE,Accuracy,Spearman,Kendall
XGB - Gender,0.4005,0.4005,0.5995,0.19932151171951887,0.19932151171951887
XGB - Age,5.942002296447754,58.987518310546875,,0.3554026820313387,0.2501588495796029
XGB - Topic,9.244,220.412,0.3695,-0.04427778704052823,-0.03891864805853101
RF - Gender,0.3985,0.3985,0.6015,0.20363470943231396,0.20363470943231393
RF - Age,5.726732273884003,54.432247566863545,,0.4189952028134519,0.29580897810692136
RF - Topic,9.2495,222.7775,0.379,-0.02823395335436227,-0.02487305088080302
