,MAE,MSE,Accuracy,Spearman,Kendall
XGB - Gender,0.339725,0.339725,0.660275,0.3216878092618369,0.3216878092618368
XGB - Age,4.917731285095215,42.71711349487305,,0.5576388732653003,0.4024152511417755
XGB - Topic,8.941025,214.156625,0.4023,0.01728770821505294,0.016392224986853707
