Characteristic,Model,Accuracy,Spearman,Kendall,MAE,MSE
Gender,XGB,0.614,0.22826872721306984,0.22826872721306987,0.386,0.386
Age,XGB,,0.48402303593402807,0.3449988750775431,5.263497352600098,47.61213684082031
Topic,XGB,0.3535,-0.03115785299547017,-0.02752199079576664,9.312,217.947
