Characteristic,Model,Accuracy,Spearman,Kendall,MAE,MSE
Gender,XGB,0.5965,0.193560306030036,0.193560306030036,0.4035,0.4035
Age,XGB,,0.4751493959314363,0.3373910784198119,5.281604766845703,48.762264251708984
Topic,XGB,0.364,-0.009095545528810952,-0.008019399344857254,9.3285,220.0185
