Characteristic,Model,Accuracy,Spearman,Kendall,MAE,MSE
Gender,RandomForest,0.63685,0.274337065872943,0.27433706587294304,0.36315,0.36315
Gender,XGB,0.63995,0.28000982597940005,0.28000982597940005,0.36005,0.36005
Age,RandomForest,,0.5168690437852208,0.37218846704656705,4.966995600511819,44.76371261471076
Age,XGB,,0.5249006857346611,0.37592427225960806,5.0312371253967285,44.51285171508789
Topic,RandomForest,0.38705,0.017485553337912168,0.015737545841378695,8.91445,210.28415
Topic,XGB,0.39385,0.02102888237098095,0.01928069474242786,8.7989,207.8074
